aimmark,mark_id,user_id,marktype_config_id,duration,mean_duration,mode_duration,median_duration,stdev_duration,iqrdev_duration,devmean_duration,devmode_duration,devmedian_duration
https://sq2.go.mail.ru/manager/aimmark/view/143958252,154335108,1833,154,19,64.827,12,23.0,180.648,15.0,-45.827,7,-4.0
https://sq2.go.mail.ru/manager/aimmark/view/143951981,154335059,8,154,17,64.827,12,23.0,180.648,15.0,-47.827,5,-6.0
https://sq2.go.mail.ru/manager/aimmark/view/143958295,154335042,1833,154,16,64.827,12,23.0,180.648,15.0,-48.827,4,-7.0
https://sq2.go.mail.ru/manager/aimmark/view/143951701,154334772,8,154,43,64.827,12,23.0,180.648,15.0,-21.827,31,20.0
https://sq2.go.mail.ru/manager/aimmark/view/143958240,154334989,1833,154,12,64.827,12,23.0,180.648,15.0,-52.827,0,-11.0
https://sq2.go.mail.ru/manager/aimmark/view/143958251,154334911,1933,154,19,64.827,12,23.0,180.648,15.0,-45.827,7,-4.0
https://sq2.go.mail.ru/manager/aimmark/view/143952349,154334734,8,154,42,64.827,12,23.0,180.648,15.0,-22.827,30,19.0
https://sq2.go.mail.ru/manager/aimmark/view/143952095,154334694,587,154,46,64.827,12,23.0,180.648,15.0,-18.827,34,23.0
https://sq2.go.mail.ru/manager/aimmark/view/143958248,154334873,1833,154,19,64.827,12,23.0,180.648,15.0,-45.827,7,-4.0
https://sq2.go.mail.ru/manager/aimmark/view/143958288,154334747,1933,154,34,64.827,12,23.0,180.648,15.0,-30.827,22,11.0
https://sq2.go.mail.ru/manager/aimmark/view/143952220,154334813,1833,154,21,64.827,12,23.0,180.648,15.0,-43.827,9,-2.0
https://sq2.go.mail.ru/manager/aimmark/view/143952033,154332489,2122,154,743,64.827,12,23.0,180.648,15.0,678.173,731,720.0
https://sq2.go.mail.ru/manager/aimmark/view/143958264,154334684,587,154,33,64.827,12,23.0,180.648,15.0,-31.827,21,10.0
https://sq2.go.mail.ru/manager/aimmark/view/143952156,154334690,1933,154,27,64.827,12,23.0,180.648,15.0,-37.827,15,4.0
https://sq2.go.mail.ru/manager/aimmark/view/143952168,154332479,2122,154,746,64.827,12,23.0,180.648,15.0,681.173,734,723.0
https://sq2.go.mail.ru/manager/aimmark/view/143952339,154333234,162,154,219,64.827,12,23.0,180.648,15.0,154.173,207,196.0
https://sq2.go.mail.ru/manager/aimmark/view/143958265,154334693,1833,154,22,64.827,12,23.0,180.648,15.0,-42.827,10,-1.0
https://sq2.go.mail.ru/manager/aimmark/view/143952297,154334359,2117,154,62,64.827,12,23.0,180.648,15.0,-2.827,50,39.0
https://sq2.go.mail.ru/manager/aimmark/view/143952165,154334457,1833,154,45,64.827,12,23.0,180.648,15.0,-19.827,33,22.0
https://sq2.go.mail.ru/manager/aimmark/view/143952327,154334590,8,154,21,64.827,12,23.0,180.648,15.0,-43.827,9,-2.0
https://sq2.go.mail.ru/manager/aimmark/view/143958297,154333950,1933,154,102,64.827,12,23.0,180.648,15.0,37.173,90,79.0
https://sq2.go.mail.ru/manager/aimmark/view/143952390,154334510,8,154,27,64.827,12,23.0,180.648,15.0,-37.827,15,4.0
https://sq2.go.mail.ru/manager/aimmark/view/143951893,154334362,1833,154,40,64.827,12,23.0,180.648,15.0,-24.827,28,17.0
https://sq2.go.mail.ru/manager/aimmark/view/143952380,154333935,1933,154,96,64.827,12,23.0,180.648,15.0,31.173,84,73.0
https://sq2.go.mail.ru/manager/aimmark/view/143952312,154334562,2127,154,9,64.827,12,23.0,180.648,15.0,-55.827,-3,-14.0
https://sq2.go.mail.ru/manager/aimmark/view/143952256,154334491,2127,154,13,64.827,12,23.0,180.648,15.0,-51.827,1,-10.0
https://sq2.go.mail.ru/manager/aimmark/view/143952361,154334163,2117,154,56,64.827,12,23.0,180.648,15.0,-8.827,44,33.0
https://sq2.go.mail.ru/manager/aimmark/view/143958263,154334515,2084,154,8,64.827,12,23.0,180.648,15.0,-56.827,-4,-15.0
https://sq2.go.mail.ru/manager/aimmark/view/143952162,154334364,8,154,27,64.827,12,23.0,180.648,15.0,-37.827,15,4.0
https://sq2.go.mail.ru/manager/aimmark/view/143958274,154334388,2127,154,21,64.827,12,23.0,180.648,15.0,-43.827,9,-2.0
https://sq2.go.mail.ru/manager/aimmark/view/143958282,154334452,2084,154,12,64.827,12,23.0,180.648,15.0,-52.827,0,-11.0
https://sq2.go.mail.ru/manager/aimmark/view/143952378,154334292,2084,154,27,64.827,12,23.0,180.648,15.0,-37.827,15,4.0
https://sq2.go.mail.ru/manager/aimmark/view/143958281,154334331,8,154,21,64.827,12,23.0,180.648,15.0,-43.827,9,-2.0
https://sq2.go.mail.ru/manager/aimmark/view/143952422,154334268,2127,154,27,64.827,12,23.0,180.648,15.0,-37.827,15,4.0
https://sq2.go.mail.ru/manager/aimmark/view/143952286,154334397,1487,154,8,64.827,12,23.0,180.648,15.0,-56.827,-4,-15.0
https://sq2.go.mail.ru/manager/aimmark/view/143952359,154334303,587,154,20,64.827,12,23.0,180.648,15.0,-44.827,8,-3.0
https://sq2.go.mail.ru/manager/aimmark/view/143952416,154333860,2084,154,76,64.827,12,23.0,180.648,15.0,11.173,64,53.0
https://sq2.go.mail.ru/manager/aimmark/view/143952405,154334304,1833,154,17,64.827,12,23.0,180.648,15.0,-47.827,5,-6.0
https://sq2.go.mail.ru/manager/aimmark/view/143952352,154334386,1487,154,4,64.827,12,23.0,180.648,15.0,-60.827,-8,-19.0
https://sq2.go.mail.ru/manager/aimmark/view/143951815,154334255,587,154,19,64.827,12,23.0,180.648,15.0,-45.827,7,-4.0
https://sq2.go.mail.ru/manager/aimmark/view/143952153,154334218,2127,154,21,64.827,12,23.0,180.648,15.0,-43.827,9,-2.0
https://sq2.go.mail.ru/manager/aimmark/view/143952250,154332906,8,154,214,64.827,12,23.0,180.648,15.0,149.173,202,191.0
https://sq2.go.mail.ru/manager/aimmark/view/143952156,154333538,2117,154,105,64.827,12,23.0,180.648,15.0,40.173,93,82.0
https://sq2.go.mail.ru/manager/aimmark/view/143952259,154334256,1833,154,11,64.827,12,23.0,180.648,15.0,-53.827,-1,-12.0
https://sq2.go.mail.ru/manager/aimmark/view/143952309,154332898,8,154,217,64.827,12,23.0,180.648,15.0,152.173,205,194.0
https://sq2.go.mail.ru/manager/aimmark/view/143952341,154332843,587,154,267,64.827,12,23.0,180.648,15.0,202.173,255,244.0
https://sq2.go.mail.ru/manager/aimmark/view/143952062,154334213,1833,154,10,64.827,12,23.0,180.648,15.0,-54.827,-2,-13.0
https://sq2.go.mail.ru/manager/aimmark/view/143952384,154333810,2084,154,61,64.827,12,23.0,180.648,15.0,-3.827,49,38.0
https://sq2.go.mail.ru/manager/aimmark/view/143952391,154332865,1487,154,239,64.827,12,23.0,180.648,15.0,174.173,227,216.0
https://sq2.go.mail.ru/manager/aimmark/view/143952357,154334102,2127,154,20,64.827,12,23.0,180.648,15.0,-44.827,8,-3.0
https://sq2.go.mail.ru/manager/aimmark/view/143958277,154334127,1833,154,14,64.827,12,23.0,180.648,15.0,-50.827,2,-9.0
https://sq2.go.mail.ru/manager/aimmark/view/143952331,154332705,587,154,431,64.827,12,23.0,180.648,15.0,366.173,419,408.0
https://sq2.go.mail.ru/manager/aimmark/view/143952238,154334028,2127,154,21,64.827,12,23.0,180.648,15.0,-43.827,9,-2.0
https://sq2.go.mail.ru/manager/aimmark/view/143952385,154333964,700,154,29,64.827,12,23.0,180.648,15.0,-35.827,17,6.0
https://sq2.go.mail.ru/manager/aimmark/view/143958294,154334059,1833,154,16,64.827,12,23.0,180.648,15.0,-48.827,4,-7.0
https://sq2.go.mail.ru/manager/aimmark/view/143952337,154333064,2117,154,144,64.827,12,23.0,180.648,15.0,79.173,132,121.0
https://sq2.go.mail.ru/manager/aimmark/view/143952137,154333891,700,154,29,64.827,12,23.0,180.648,15.0,-35.827,17,6.0
https://sq2.go.mail.ru/manager/aimmark/view/143952402,154333992,1833,154,14,64.827,12,23.0,180.648,15.0,-50.827,2,-9.0
https://sq2.go.mail.ru/manager/aimmark/view/143952282,154333963,2127,154,15,64.827,12,23.0,180.648,15.0,-49.827,3,-8.0
https://sq2.go.mail.ru/manager/aimmark/view/143952354,154333894,2102,154,21,64.827,12,23.0,180.648,15.0,-43.827,9,-2.0
https://sq2.go.mail.ru/manager/aimmark/view/143952329,154333662,1833,154,7,64.827,12,23.0,180.648,15.0,-57.827,-5,-16.0
https://sq2.go.mail.ru/manager/aimmark/view/143952109,154333910,2127,154,13,64.827,12,23.0,180.648,15.0,-51.827,1,-10.0
https://sq2.go.mail.ru/manager/aimmark/view/143952320,154333755,2102,154,31,64.827,12,23.0,180.648,15.0,-33.827,19,8.0
https://sq2.go.mail.ru/manager/aimmark/view/143952272,154333597,1833,154,48,64.827,12,23.0,180.648,15.0,-16.827,36,25.0
https://sq2.go.mail.ru/manager/aimmark/view/143952356,154333762,2127,154,24,64.827,12,23.0,180.648,15.0,-40.827,12,1.0
https://sq2.go.mail.ru/manager/aimmark/view/143952426,154333779,700,154,21,64.827,12,23.0,180.648,15.0,-43.827,9,-2.0
https://sq2.go.mail.ru/manager/aimmark/view/143952191,154333060,2127,154,112,64.827,12,23.0,180.648,15.0,47.173,100,89.0
https://sq2.go.mail.ru/manager/aimmark/view/143952288,154333715,2102,154,21,64.827,12,23.0,180.648,15.0,-43.827,9,-2.0
https://sq2.go.mail.ru/manager/aimmark/view/143952410,154333002,700,154,116,64.827,12,23.0,180.648,15.0,51.173,104,93.0
https://sq2.go.mail.ru/manager/aimmark/view/143952328,154333688,2084,154,20,64.827,12,23.0,180.648,15.0,-44.827,8,-3.0
https://sq2.go.mail.ru/manager/aimmark/view/143952421,154333319,2084,154,64,64.827,12,23.0,180.648,15.0,-0.827,52,41.0
https://sq2.go.mail.ru/manager/aimmark/view/143952064,154332935,700,154,111,64.827,12,23.0,180.648,15.0,46.173,99,88.0
https://sq2.go.mail.ru/manager/aimmark/view/143952189,154332677,2127,154,400,64.827,12,23.0,180.648,15.0,335.173,388,377.0
https://sq2.go.mail.ru/manager/aimmark/view/143951621,154333676,2102,154,8,64.827,12,23.0,180.648,15.0,-56.827,-4,-15.0
https://sq2.go.mail.ru/manager/aimmark/view/143952383,154333611,2102,154,11,64.827,12,23.0,180.648,15.0,-53.827,-1,-12.0
https://sq2.go.mail.ru/manager/aimmark/view/143952388,154332879,2084,154,150,64.827,12,23.0,180.648,15.0,85.173,138,127.0
https://sq2.go.mail.ru/manager/aimmark/view/143952408,154333222,2102,154,59,64.827,12,23.0,180.648,15.0,-5.827,47,36.0
https://sq2.go.mail.ru/manager/aimmark/view/143952222,154333532,1833,154,14,64.827,12,23.0,180.648,15.0,-50.827,2,-9.0
https://sq2.go.mail.ru/manager/aimmark/view/143951661,154333177,2102,154,56,64.827,12,23.0,180.648,15.0,-8.827,44,33.0
https://sq2.go.mail.ru/manager/aimmark/view/143952095,154333439,1833,154,19,64.827,12,23.0,180.648,15.0,-45.827,7,-4.0
https://sq2.go.mail.ru/manager/aimmark/view/143952319,154332861,1487,154,150,64.827,12,23.0,180.648,15.0,85.173,138,127.0
https://sq2.go.mail.ru/manager/aimmark/view/143952392,154332914,2117,154,93,64.827,12,23.0,180.648,15.0,28.173,81,70.0
https://sq2.go.mail.ru/manager/aimmark/view/143951983,154333391,1833,154,16,64.827,12,23.0,180.648,15.0,-48.827,4,-7.0
